German	IPA	Vietnamese	Example	Translation
die Robotik	[ʁoˈbɔtɪk]	Người máy / Robot học	Số ít: [Hat die Robotik die Produktion verändert?] [hat diː ʁoˈbɔtɪk diː pʁodʊkˈtsjoːn fɛɐˈʔɛndɐt] – [Ja, die Robotik hat viele Abläufe effizienter gemacht.] [jaː diː ʁoˈbɔtɪk hat ˈfiːlə ˈapˌlɔʏfə ɛfiˈtsi̯ɛntɐ ɡəˈmaxt] \nSố nhiều: [Welche Robotiken werden in der Montage eingesetzt?] [ˈvɛlçə ʁoˈbɔtɪkən ˈvɛʁdən ɪn deːɐ mɔnˈtaːʒə ˈaɪnɡəzɛtst] – [Kollaborative Robotiken und Schweißrobotiken werden in der Montage eingesetzt.] [kɔlaboʁaˈtiːvə ʁoˈbɔtɪkən ʊnt ˈʃvaɪsʁoˌbɔtɪkən ˈvɛʁdən ɪn deːɐ mɔnˈtaːʒə ˈaɪnɡəzɛtst]	Số ít: "Robot học có làm thay đổi sản xuất không?" – "Có, robot học đã khiến nhiều quy trình hiệu quả hơn." \nSố nhiều: "Những loại robot nào được dùng trong lắp ráp?" – "Robot cộng tác và robot hàn được dùng trong lắp ráp."
die Prozessoptimierung	[pʁoˈtsɛsʔɔptiˌmiːʁʊŋ]	Tối ưu hóa quy trình	Số ít: [Wie wird die Prozessoptimierung durchgeführt?] [viː vɪʁt diː pʁoˈtsɛsʔɔptiˌmiːʁʊŋ ˈdʊʁçɡəfyːɐt] – [Die Prozessoptimierung erfolgt nach der Lean‑Methode.] [diː pʁoˈtsɛsʔɔptiˌmiːʁʊŋ ɛɐˈfɔlkt naːx deːɐ liːn meˈtoːdə] \nSố nhiều: [Welche Prozessoptimierungen brachten Kostenvorteile?] [ˈvɛlçə pʁoˈtsɛsʔɔptiˌmiːʁʊŋən ˈbʁaxtən ˈkɔstənˌfɔʁtaɪlə] – [Die Rüstzeit‑ und die Durchlaufzeitoptimierungen brachten Kostenvorteile.] [diː ˈʁʏsttsaɪt ʊnt diː ˈdʊʁçlaʊftsaɪtʔɔptiˌmiːʁʊŋən ˈbʁaxtən ˈkɔstənˌfɔʁtaɪlə]	Số ít: "Việc tối ưu hóa quy trình được tiến hành như thế nào?" – "Tối ưu hóa quy trình được thực hiện theo phương pháp Lean." \nSố nhiều: "Những biện pháp tối ưu hóa quy trình nào đem lại lợi ích chi phí?" – "Tối ưu hóa thời gian chuyển đổi và thời gian thông qua đem lại lợi ích chi phí."
die Energieeffizienz	[enɛʁˈɡiːʔɛfiˌtsi̯ɛnts]	Hiệu quả năng lượng	Số ít: [Wie kann man die Energieeffizienz steigern?] [viː kan man diː enɛʁˈɡiːʔɛfiˌtsi̯ɛnts ˈʃtaɪɡɐn] – [Durch moderne Motoren und Wärmerückgewinnung lässt sich die Energieeffizienz steigern.] [dʊʁç moˈdɛʁnə moˈtoːʁən ʊnt ˈvɛʁməˌʁʏkɡəvɪnʊŋ lɛst zɪç diː enɛʁˈɡiːʔɛfiˌtsi̯ɛnts ˈʃtaɪɡɐn] \nSố nhiều: [Welche Energieeffizienz‑Maßnahmen werden gefördert?] [ˈvɛlçə enɛʁˈɡiːʔɛfiˌtsi̯ɛnts ˈmaːsnaːmən ˈvɛʁdən ɡəˈfœʁdɐt] – [Dämmung und Abwärmenutzung werden gefördert.] [ˈdɛmʊŋ ʊnt ˈapvɛʁməˌnʊtsʊŋ ˈvɛʁdən ɡəˈfœʁdɐt]	Số ít: "Làm thế nào để tăng hiệu quả năng lượng?" – "Có thể tăng hiệu quả năng lượng nhờ các động cơ hiện đại và thu hồi nhiệt." \nSố nhiều: "Những biện pháp hiệu quả năng lượng nào đang được hỗ trợ?" – "Cách nhiệt và sử dụng nhiệt thải đang được hỗ trợ."
der Schichtbetrieb	[ˈʃɪçtbəˌtʁiːp]	Chế độ làm ca	Số ít: [Herrscht hier Schichtbetrieb?] [hɛʁʃt hiːɐ ˈʃɪçtbəˌtʁiːp] – [Ja, wir arbeiten im 3‑Schicht‑Betrieb.] [jaː viːɐ ˈaʁbaɪtən ɪm dʁaɪ ˈʃɪçt bəˌtʁiːp] \nSố nhiều: [Welche Schichtbetriebe sind eingerichtet?] [ˈvɛlçə ˈʃɪçtbəˌtʁiːbə zɪnt ˈaɪnɡəʁɪçtət] – [Früh‑, Spät‑ und Nachtschicht sind eingerichtet.] [fʁyː ʃpɛːt ʊnt ˈnaxtʃɪçt zɪnt ˈaɪnɡəʁɪçtət]	Số ít: "Ở đây có làm việc theo ca không?" – "Có, chúng tôi làm việc theo chế độ 3 ca." \nSố nhiều: "Những chế độ ca nào được thiết lập?" – "Ca sáng, ca chiều và ca đêm được thiết lập."
die Gewerkschaft	[ɡəˈvɛʁkʃaft]	Công đoàn	Số ít: [Vertritt die Gewerkschaft die Arbeitnehmer?] [fɛɐˈtʁɪt diː ɡəˈvɛʁkʃaft diː ˈaʁbaɪtˌneːmɐ] – [Ja, die Gewerkschaft verhandelt Tarifverträge für die Arbeitnehmer.] [jaː diː ɡəˈvɛʁkʃaft fɛɐˈhandəlt taˈʁiːffɛɐˌtʁɛːɡə fyːɐ diː ˈaʁbaɪtˌneːmɐ] \nSố nhiều: [Welche Gewerkschaften sind in der Metallbranche aktiv?] [ˈvɛlçə ɡəˈvɛʁkʃaftən zɪnt ɪn deːɐ meˈtalbʁãːʃə akˈtiːf] – [Die IG Metall und kleinere Fachgewerkschaften sind aktiv.] [diː iˈɡeː meˈtal ʊnt ˈklaɪnəʁə ˈfaxɡəvɛʁkʃaftən zɪnt akˈtiːf]	Số ít: "Công đoàn có đại diện cho người lao động không?" – "Có, công đoàn đàm phán thỏa ước tập thể cho người lao động." \nSố nhiều: "Những công đoàn nào đang hoạt động trong ngành kim loại?" – "IG Metall và các công đoàn chuyên ngành nhỏ hơn đang hoạt động."
der Tarifvertrag	[taˈʁiːffɛɐˌtʁaːk]	Thỏa ước tập thể	Số ít: [Gilt der Tarifvertrag für alle Beschäftigten?] [ɡɪlt deːɐ taˈʁiːffɛɐˌtʁaːk fyːɐ ˈalə bəˈʃɛftɪçtən] – [Ja, der Tarifvertrag gilt für alle tarifgebundenen Beschäftigten.] [jaː deːɐ taˈʁiːffɛɐˌtʁaːk ɡɪlt fyːɐ ˈalə taˈʁiːfɡəˌbʊndənən bəˈʃɛftɪçtən] \nSố nhiều: [Welche Tarifverträge wurden kürzlich abgeschlossen?] [ˈvɛlçə taˈʁiːffɛɐˌtʁɛːɡə ˈvʊʁdən ˈkʏʁtslɪç ˈapɡəʃlɔsən] – [Die Tarifverträge für die Chemie‑ und die Metallbranche wurden abgeschlossen.] [diː taˈʁiːffɛɐˌtʁɛːɡə fyːɐ diː çeˈmiː ʊnt diː meˈtalbʁãːʃə ˈvʊʁdən ˈapɡəʃlɔsən]	Số ít: "Thỏa ước tập thể có áp dụng cho tất cả người lao động không?" – "Có, thỏa ước tập thể áp dụng cho mọi lao động thuộc diện ràng buộc thỏa ước." \nSố nhiều: "Những thỏa ước tập thể nào vừa được ký kết?" – "Các thỏa ước tập thể cho ngành hóa chất và ngành kim loại đã được ký kết."
die Wertschöpfung	[ˈveːɐtˌʃœpfʊŋ]	Giá trị gia tăng	Số ít: [Wo findet die meiste Wertschöpfung statt?] [voː ˈfɪndət diː ˈmaɪstə ˈveːɐtˌʃœpfʊŋ ʃtat] – [Die meiste Wertschöpfung findet in der Veredelung statt.] [diː ˈmaɪstə ˈveːɐtˌʃœpfʊŋ ˈfɪndət ɪn deːɐ fɛɐˈʔeːdəlʊŋ ʃtat] \nSố nhiều: [Welche Wertschöpfungen sind im Land geblieben?] [ˈvɛlçə ˈveːɐtˌʃœpfʊŋən zɪnt ɪm lant ɡəˈbliːbən] – [Die Wertschöpfungen in der Produktion sind größtenteils im Land geblieben.] [diː ˈveːɐtˌʃœpfʊŋən ɪn deːɐ pʁodʊkˈtsjoːn zɪnt ˈɡʁøːstn̩taɪls ɪm lant ɡəˈbliːbən]	Số ít: "Phần lớn giá trị gia tăng diễn ra ở đâu?" – "Phần lớn giá trị gia tăng diễn ra ở khâu tinh chế." \nSố nhiều: "Những giá trị gia tăng nào được giữ lại trong nước?" – "Các giá trị gia tăng trong sản xuất phần lớn được giữ lại trong nước."
die Wertstromanalyse	[ˈveːɐtʃtʁoːmʔanaˌlyːzə]	Phân tích dòng giá trị	Số ít: [Wofür wird die Wertstromanalyse genutzt?] [voˈfyːɐ vɪʁt diː ˈveːɐtʃtʁoːmʔanaˌlyːzə ɡəˈnʊtst] – [Die Wertstromanalyse dient der Identifikation von Verschwendung.] [diː ˈveːɐtʃtʁoːmʔanaˌlyːzə diːnt deːɐ ɪdɛntifikaˈtsjoːn fɔn fɛɐˈʃvɛndʊŋ] \nSố nhiều: [Welche Wertstromanalysen wurden durchgeführt?] [ˈvɛlçə ˈveːɐtʃtʁoːmʔanaˌlyːzən ˈvʊʁdən ˈdʊʁçɡəfyːɐt] – [Die Wertstromanalysen für die Hauptproduktgruppen wurden durchgeführt.] [diː ˈveːɐtʃtʁoːmʔanaˌlyːzən fyːɐ diː ˈhaʊptpʁodʊktˌɡʁʊpən ˈvʊʁdən ˈdʊʁçɡəfyːɐt]	Số ít: "Phân tích dòng giá trị được dùng để làm gì?" – "Phân tích dòng giá trị dùng để nhận diện lãng phí." \nSố nhiều: "Những phân tích dòng giá trị nào đã được thực hiện?" – "Các phân tích dòng giá trị cho các nhóm sản phẩm chính đã được thực hiện."
die Schlüsselindustrie	[ˈʃlʏsəlɪndʊstʁiː]	Ngành công nghiệp then chốt	Số ít: [Zählt die Automobilindustrie zur Schlüsselindustrie?] [tsɛlt diː aʊtomoˈbiːlɪndʊstʁiː tsuːɐ ˈʃlʏsəlɪndʊstʁiː] – [Ja, sie ist eine der wichtigsten Schlüsselindustrien.] [jaː ziː ɪst ˈaɪnə deːɐ ˈvɪçtɪçstən ˈʃlʏsəlɪndʊstʁiən] \nSố nhiều: [Welche Schlüsselindustrien werden besonders gefördert?] [ˈvɛlçə ˈʃlʏsəlɪndʊstʁiən ˈvɛʁdən bəˈzɔndɐs ɡəˈfœʁdɐt] – [Mikroelektronik und Wasserstofftechnologie werden besonders gefördert.] [ˈmiːkʁoelɛkˌtʁoːnɪk ʊnt ˈvasɐʃtɔfˌtɛçnoloˌɡiː ˈvɛʁdən bəˈzɔndɐs ɡəˈfœʁdɐt]	Số ít: "Ngành ô tô có được tính là ngành then chốt không?" – "Có, đó là một trong những ngành then chốt quan trọng nhất." \nSố nhiều: "Những ngành công nghiệp then chốt nào đang được đặc biệt hỗ trợ?" – "Vi điện tử và công nghệ hydro đang được đặc biệt hỗ trợ."
die Forschung und Entwicklung (F&E)	[ˈfɔʁʃʊŋ ʊnt ɛntˈvɪklʊŋ]	Nghiên cứu và phát triển (R&D)	Số ít: [Welches Budget hat die F&E‑Abteilung?] [ˈvɛlçəs byˈdʒeː hat diː ɛf ʊnt ˈeː ʔapˌtaɪlʊŋ] – [Die F&E‑Abteilung hat ein Jahresbudget von zehn Millionen Euro.] [diː ɛf ʊnt ˈeː ʔapˌtaɪlʊŋ hat aɪn ˈjaːʁəsbyˌdʒeː fɔn tseːn mɪˈli̯oːnən ˈɔʏʁo] \nSố nhiều: [Welche Forschung und Entwicklungen sind geplant?] [ˈvɛlçə ˈfɔʁʃʊŋ ʊnt ɛntˈvɪklʊŋən zɪnt ɡəˈplaːnt] – [Forschung zu Leichtbau und Entwicklung neuer Batteriezellen sind geplant.] [ˈfɔʁʃʊŋ tsuː ˈlaɪçtbaʊ ʊnt ɛntˈvɪklʊŋ ˈnɔʏɐ batəˈʁiːˌtsɛlən zɪnt ɡəˈplaːnt]	Số ít: "Bộ phận R&D có ngân sách bao nhiêu?" – "Bộ phận R&D có ngân sách hàng năm là mười triệu euro." \nSố nhiều: "Những hoạt động nghiên cứu và phát triển nào được lên kế hoạch?" – "Nghiên cứu về kết cấu nhẹ và phát triển pin mới được lên kế hoạch."
der Prototyp	[pʁotoˈtyːp]	Nguyên mẫu	Số ít: [Wann ist der Prototyp fertig?] [van ɪst deːɐ pʁotoˈtyːp ˈfɛʁtɪç] – [Der Prototyp soll nächste Woche fertig sein.] [deːɐ pʁotoˈtyːp zɔl ˈnɛːçstə ˈvɔxə ˈfɛʁtɪç zaɪn] \nSố nhiều: [Welche Prototypen werden getestet?] [ˈvɛlçə pʁotoˈtyːpən ˈvɛʁdən ɡəˈtɛstət] – [Die Prototypen der neuen Pumpengeneration werden getestet.] [diː pʁotoˈtyːpən deːɐ ˈnɔʏən ˈpʊmpənɡenəʁaˌtsjoːn ˈvɛʁdən ɡəˈtɛstət]	Số ít: "Khi nào nguyên mẫu hoàn thành?" – "Nguyên mẫu dự kiến hoàn thành vào tuần tới." \nSố nhiều: "Những nguyên mẫu nào đang được thử nghiệm?" – "Các nguyên mẫu của thế hệ bơm mới đang được thử nghiệm."
das Patent	[paˈtɛnt]	Bằng sáng chế	Số ít: [Ist das Patent schon angemeldet?] [ɪst das paˈtɛnt ʃoːn ˈanɡəmɛldət] – [Ja, das Patent ist beim Patentamt angemeldet.] [jaː das paˈtɛnt ɪst baɪm paˈtɛntʔamt ˈanɡəmɛldət] \nSố nhiều: [Welche Patente hält das Unternehmen?] [ˈvɛlçə paˈtɛntə hɛlt das ʊntɐˈneːmən] – [Das Unternehmen hält über 200 Patente weltweit.] [das ʊntɐˈneːmən hɛlt ˈyːbɐ ˈtsvaɪhʊndɐt paˈtɛntə ˈvɛltvaɪt]	Số ít: "Bằng sáng chế đã được đăng ký chưa?" – "Rồi, bằng sáng chế đã được đăng ký tại cơ quan sáng chế." \nSố nhiều: "Công ty sở hữu những bằng sáng chế nào?" – "Công ty sở hữu hơn 200 bằng sáng chế trên toàn thế giới."
die Produktionskapazität	[pʁodʊkˈtsjoːnskapaˌtsiːtɛːt]	Năng lực sản xuất	Số ít: [Reicht die Produktionskapazität aus?] [ʁaɪçt diː pʁodʊkˈtsjoːnskapaˌtsiːtɛːt aʊs] – [Nein, die Produktionskapazität ist zu 95 % ausgelastet.] [naɪn diː pʁodʊkˈtsjoːnskapaˌtsiːtɛːt ɪst tsuː ˈfʏnfʊntnɔʏntsɪç pʁoˈtsɛnt ˈaʊsɡəlastət] \nSố nhiều: [Welche Produktionskapazitäten sollen erweitert werden?] [ˈvɛlçə pʁodʊkˈtsjoːnskapaˌtsiːtɛːtən ˈzɔlən ɛɐˈvaɪtɐt ˈvɛʁdən] – [Die Produktionskapazitäten für Batterien sollen erweitert werden.] [diː pʁodʊkˈtsjoːnskapaˌtsiːtɛːtən fyːɐ batəˈʁiːən ˈzɔlən ɛɐˈvaɪtɐt ˈvɛʁdən]	Số ít: "Năng lực sản xuất có đủ không?" – "Không, năng lực sản xuất đã được sử dụng 95%." \nSố nhiều: "Những năng lực sản xuất nào sẽ được mở rộng?" – "Năng lực sản xuất pin sẽ được mở rộng."
die Taktzeit	[ˈtaktˌtsaɪt]	Nhịp sản xuất (thời gian một chu kỳ)	Số ít: [Wie hoch ist die Taktzeit dieser Linie?] [viː hoːx ɪst diː ˈtaktˌtsaɪt ˈdiːzɐ ˈliːniə] – [Die Taktzeit beträgt 30 Sekunden.] [diː ˈtaktˌtsaɪt bəˈtʁɛːkt ˈdʁaɪsɪç zeˈkʊndən] \nSố nhiều: [Welche Taktzeiten gelten für die neue Anlage?] [ˈvɛlçə ˈtaktˌtsaɪtən ˈɡɛltən fyːɐ diː ˈnɔʏə ˈanlaːɡə] – [Die Taktzeiten liegen zwischen 20 und 40 Sekunden.] [diː ˈtaktˌtsaɪtən ˈliːɡən ˈtsvɪʃən ˈtsvantsɪç ʊnt ˈfɪʁtsɪç zeˈkʊndən]	Số ít: "Nhịp sản xuất của dây chuyền này là bao nhiêu?" – "Nhịp sản xuất là 30 giây." \nSố nhiều: "Những nhịp sản xuất nào áp dụng cho thiết bị mới?" – "Các nhịp sản xuất dao động từ 20 đến 40 giây."
die Anlaufphase	[ˈanlaʊfˌfaːzə]	Giai đoạn khởi động sản xuất	Số ít: [Dauert die Anlaufphase noch an?] [ˈdaʊɐt diː ˈanlaʊfˌfaːzə nɔx an] – [Ja, die Anlaufphase dauert planmäßig bis Juni.] [jaː diː ˈanlaʊfˌfaːzə ˈdaʊɐt ˈplaːnmɛːsɪç bɪs ˈjuːni] \nSố nhiều: [Welche Anlaufphasen sind für die neuen Werke geplant?] [ˈvɛlçə ˈanlaʊfˌfaːzən zɪnt fyːɐ diː ˈnɔʏən ˈvɛʁkə ɡəˈplaːnt] – [Die Anlaufphasen sind gestaffelt, beginnend mit Werk 1.] [diː ˈanlaʊfˌfaːzən zɪnt ɡəˈʃtafəlt bəˈɡɪnənt mɪt vɛʁk aɪns]	Số ít: "Giai đoạn khởi động sản xuất vẫn đang tiếp diễn phải không?" – "Đúng, giai đoạn khởi động theo kế hoạch sẽ kéo dài đến tháng Sáu." \nSố nhiều: "Những giai đoạn khởi động nào được lên kế hoạch cho các nhà máy mới?" – "Các giai đoạn khởi động được sắp xếp so le, bắt đầu với Nhà máy 1."
die Rückverfolgbarkeit	[ˈʁʏkfɛɐˌfɔlɡbaːɐkaɪt]	Truy xuất nguồn gốc	Số ít: [Ist die Rückverfolgbarkeit der Chargen sichergestellt?] [ɪst diː ˈʁʏkfɛɐˌfɔlɡbaːɐkaɪt deːɐ ˈʃaʁʒən ˈzɪçɐɡəʃtɛlt] – [Ja, jede Charge ist durch einen Barcode rückverfolgbar.] [jaː ˈjeːdə ˈʃaʁʒə ɪst dʊʁç ˈaɪnən ˈbaːɐkoːt ˈʁʏkfɛɐˌfɔlɡbaːɐ] \nSố nhiều: [Welche Rückverfolgbarkeiten sind gesetzlich gefordert?] [ˈvɛlçə ˈʁʏkfɛɐˌfɔlɡbaːɐkaɪtən zɪnt ɡəˈzɛtslɪç ɡəˈfɔʁdɐt] – [Rückverfolgbarkeiten in der Lebensmittel‑ und Pharmaindustrie sind gesetzlich gefordert.] [ˈʁʏkfɛɐˌfɔlɡbaːɐkaɪtən ɪn deːɐ ˈleːbənsmɪtəl ʊnt faʁˈmaːɪndʊstʁiː zɪnt ɡəˈzɛtslɪç ɡəˈfɔʁdɐt]	Số ít: "Truy xuất nguồn gốc của các lô hàng có được đảm bảo không?" – "Có, mỗi lô hàng đều có thể truy xuất qua mã vạch." \nSố nhiều: "Những yêu cầu truy xuất nguồn gốc nào được pháp luật quy định?" – "Truy xuất nguồn gốc trong ngành thực phẩm và dược phẩm là bắt buộc theo luật."
die Lagerhaltung	[ˈlaːɡɐˌhaltʊŋ]	Lưu kho / Quản lý kho	Số ít: [Wie optimiert man die Lagerhaltung?] [viː ɔptiˈmiːɐt man diː ˈlaːɡɐˌhaltʊŋ] – [Durch ein Just‑in‑Time‑System optimiert man die Lagerhaltung.] [dʊʁç aɪn dʒʌst ɪn taɪm zʏsˈteːm ɔptiˈmiːɐt man diː ˈlaːɡɐˌhaltʊŋ] \nSố nhiều: [Welche Lagerhaltungen sind automatisiert?] [ˈvɛlçə ˈlaːɡɐˌhaltʊŋən zɪnt aʊtɔmatiˈziːɐt] – [Die Hochregal‑ und die Kleinteilelagerhaltungen sind automatisiert.] [diː ˈhoːxʁeɡaːl ʊnt diː ˈklaɪntaɪləˌlaːɡɐhaltʊŋən zɪnt aʊtɔmatiˈziːɐt]	Số ít: "Làm thế nào để tối ưu quản lý kho?" – "Có thể tối ưu quản lý kho thông qua hệ thống Just‑in‑Time." \nSố nhiều: "Những hệ thống lưu kho nào đã được tự động hóa?" – "Hệ thống kho giá cao và kho chi tiết nhỏ đã được tự động hóa."
der Schadstoff	[ˈʃaːtʃtɔf]	Chất độc hại	Số ít: [Enthält das Material einen Schadstoff?] [ɛntˈhɛlt das mateˈʁi̯aːl ˈaɪnən ˈʃaːtʃtɔf] – [Nein, es ist frei von gefährlichen Schadstoffen.] [naɪn ɛs ɪst fʁaɪ fɔn ɡəˈfɛːɐlɪçən ˈʃaːtʃtɔfən] \nSố nhiều: [Welche Schadstoffe werden gemessen?] [ˈvɛlçə ˈʃaːtʃtɔfə ˈvɛʁdən ɡəˈmɛsən] – [Schwermetalle und flüchtige organische Verbindungen werden gemessen.] [ˈʃveːɐmeˌtalə ʊnt ˈflʏçtɪɡə ɔʁˈɡaːnɪʃə fɛɐˈbɪndʊŋən ˈvɛʁdən ɡəˈmɛsən]	Số ít: "Vật liệu này có chứa chất độc hại không?" – "Không, nó không chứa các chất độc hại nguy hiểm." \nSố nhiều: "Những chất độc hại nào được đo lường?" – "Kim loại nặng và các hợp chất hữu cơ dễ bay hơi được đo lường."
die Gefahrstoffkennzeichnung	[ɡəˈfaːɐʃtɔfˌkɛntsaɪçnʊŋ]	Ghi nhãn chất nguy hiểm	Số ít: [Entspricht die Gefahrstoffkennzeichnung der GHS‑Norm?] [ɛntˈʃpʁɪçt diː ɡəˈfaːɐʃtɔfˌkɛntsaɪçnʊŋ deːɐ ɡeːhaːˈɛs nɔʁm] – [Ja, die Gefahrstoffkennzeichnung folgt dem global harmonisierten System.] [jaː diː ɡəˈfaːɐʃtɔfˌkɛntsaɪçnʊŋ fɔlkt deːm ˈɡloːbaːl haʁmoniˈziːɐtən zʏsˈteːm] \nSố nhiều: [Welche Gefahrstoffkennzeichnungen sind auf den Fässern angebracht?] [ˈvɛlçə ɡəˈfaːɐʃtɔfˌkɛntsaɪçnʊŋən zɪnt aʊf deːn ˈfɛsɐn ˈanɡəbʁaxt] – [Die Gefahrstoffkennzeichnungen „entzündlich“ und „giftig“ sind angebracht.] [diː ɡəˈfaːɐʃtɔfˌkɛntsaɪçnʊŋən ɛntˈtsʏntlɪç ʊnt ˈɡɪftɪç zɪnt ˈanɡəbʁaxt]	Số ít: "Việc ghi nhãn chất nguy hiểm có tuân theo tiêu chuẩn GHS không?" – "Có, việc ghi nhãn chất nguy hiểm tuân theo hệ thống hài hòa toàn cầu." \nSố nhiều: "Những nhãn chất nguy hiểm nào được gắn trên các thùng phi?" – "Các nhãn ‘dễ cháy’ và ‘độc’ được gắn."
die Entsorgung	[ɛntˈzɔʁɡʊŋ]	Xử lý chất thải	Số ít: [Wer übernimmt die Entsorgung der Produktionsabfälle?] [veːɐ ˌyːbɐˈnɪmt diː ɛntˈzɔʁɡʊŋ deːɐ pʁodʊkˈtsjoːnsˌapfɛlə] – [Die Entsorgung übernimmt ein zertifizierter Fachbetrieb.] [diː ɛntˈzɔʁɡʊŋ ˌyːbɐˈnɪmt aɪn tseʁtifiˈtsiːɐtɐ ˈfaxbəˌtʁiːp] \nSố nhiều: [Welche Entsorgungen sind dokumentiert?] [ˈvɛlçə ɛntˈzɔʁɡʊŋən zɪnt dokumɛnˈtiːɐt] – [Die Entsorgungen von Sondermüll und Altöl sind lückenlos dokumentiert.] [diː ɛntˈzɔʁɡʊŋən fɔn ˈzɔndɐmʏl ʊnt ˈaltʔøːl zɪnt ˈlʏkənloːs dokumɛnˈtiːɐt]	Số ít: "Ai đảm nhận việc xử lý chất thải sản xuất?" – "Một đơn vị chuyên ngành được chứng nhận đảm nhận việc xử lý." \nSố nhiều: "Những hoạt động xử lý chất thải nào đã được ghi chép?" – "Việc xử lý chất thải đặc biệt và dầu thải được ghi chép đầy đủ."
die Inbetriebnahme	[ˈɪnbəˌtʁiːpsnaːmə]	Vận hành thử / Đưa vào hoạt động	Số ít: [Wann beginnt die Inbetriebnahme der Anlage?] [van bəˈɡɪnt diː ˈɪnbəˌtʁiːpsnaːmə deːɐ ˈanlaːɡə] – [Die Inbetriebnahme beginnt nach den Abnahmetests.] [diː ˈɪnbəˌtʁiːpsnaːmə bəˈɡɪnt naːx deːn ˈapnaːməˌtɛsts] \nSố nhiều: [Welche Inbetriebnahmen stehen in diesem Quartal an?] [ˈvɛlçə ˈɪnbəˌtʁiːpsnaːmən ˈʃteːən ɪn ˈdiːzəm kvaʁˈtaːl an] – [Die Inbetriebnahmen von zwei neuen Fertigungslinien stehen an.] [diː ˈɪnbəˌtʁiːpsnaːmən fɔn tsvaɪ ˈnɔʏən ˈfɛʁtɪɡʊŋsˌliːniən ˈʃteːən an]	Số ít: "Khi nào bắt đầu vận hành thử thiết bị?" – "Vận hành thử bắt đầu sau các bài kiểm tra nghiệm thu." \nSố nhiều: "Những đợt đưa vào hoạt động nào sẽ diễn ra trong quý này?" – "Việc đưa vào hoạt động hai dây chuyền sản xuất mới sẽ diễn ra."
der Probebetrieb	[ˈpʁoːbəbəˌtʁiːp]	Chạy thử (sản xuất)	Số ít: [Läuft der Probebetrieb stabil?] [lɔʏft deːɐ ˈpʁoːbəbəˌtʁiːp ʃtaˈbiːl] – [Der Probebetrieb läuft weitgehend stabil.] [deːɐ ˈpʁoːbəbəˌtʁiːp lɔʏft ˈvaɪtɡeːənt ʃtaˈbiːl] \nSố nhiều: [Welche Probebetriebe sind für die neuen Produkte geplant?] [ˈvɛlçə ˈpʁoːbəbəˌtʁiːbə zɪnt fyːɐ diː ˈnɔʏən pʁoˈdʊktə ɡəˈplaːnt] – [Die Probebetriebe für die Elektromotoren sind im Februar geplant.] [diː ˈpʁoːbəbəˌtʁiːbə fyːɐ diː eˈlɛktʁomoˌtoːʁən zɪnt ɪm ˈfeːbʁuaːɐ ɡəˈplaːnt]	Số ít: "Chạy thử có ổn định không?" – "Chạy thử phần lớn ổn định." \nSố nhiều: "Những đợt chạy thử nào được lên kế hoạch cho các sản phẩm mới?" – "Các đợt chạy thử động cơ điện được lên kế hoạch vào tháng Hai."
die Stillstandszeit	[ˈʃtɪlʃtantsˌtsaɪt]	Thời gian ngừng máy	Số ít: [Wie hoch war die Stillstandszeit letzte Woche?] [viː hoːx vaːɐ diː ˈʃtɪlʃtantsˌtsaɪt ˈlɛtstə ˈvɔxə] – [Die Stillstandszeit betrug insgesamt vier Stunden.] [diː ˈʃtɪlʃtantsˌtsaɪt bəˈtʁuːk ˈɪnsɡəzamt fiːɐ ˈʃtʊndən] \nSố nhiều: [Welche Stillstandszeiten sind dokumentiert?] [ˈvɛlçə ˈʃtɪlʃtantsˌtsaɪtən zɪnt dokumɛnˈtiːɐt] – [Die Stillstandszeiten durch Wartung und Störungen sind dokumentiert.] [diː ˈʃtɪlʃtantsˌtsaɪtən dʊʁç ˈvaʁtʊŋ ʊnt ˈʃtøːʁʊŋən zɪnt dokumɛnˈtiːɐt]	Số ít: "Thời gian ngừng máy tuần trước là bao nhiêu?" – "Tổng thời gian ngừng máy là bốn giờ." \nSố nhiều: "Những khoảng thời gian ngừng máy nào đã được ghi lại?" – "Thời gian ngừng máy do bảo trì và sự cố đã được ghi lại."
der Durchsatz	[ˈdʊʁçˌzats]	Công suất thông qua / Năng suất	Số ít: [Konnte der Durchsatz gesteigert werden?] [ˈkɔntə deːɐ ˈdʊʁçˌzats ɡəˈʃtaɪɡɐt ˈvɛʁdən] – [Ja, der Durchsatz wurde um 15 % gesteigert.] [jaː deːɐ ˈdʊʁçˌzats ˈvʊʁdə ʊm ˈfʏnftseːn pʁoˈtsɛnt ɡəˈʃtaɪɡɐt] \nSố nhiều: [Welche Durchsätze erreichen die einzelnen Linien?] [ˈvɛlçə ˈdʊʁçˌzɛtsə ɛɐˈʁaɪçən diː ˈaɪntsəlnən ˈliːniən] – [Die Durchsätze liegen zwischen 100 und 150 Teilen pro Minute.] [diː ˈdʊʁçˌzɛtsə ˈliːɡən ˈtsvɪʃən ˈhʊndɐt ʊnt ˈfʏnfhʊndɐt ˈtaɪlən pʁoː miˈnuːtə]	Số ít: "Công suất thông qua có được tăng lên không?" – "Có, công suất thông qua đã tăng 15%." \nSố nhiều: "Các dây chuyền riêng lẻ đạt được công suất thông qua bao nhiêu?" – "Công suất thông qua nằm trong khoảng từ 100 đến 150 chi tiết mỗi phút."
